neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,Lower East Side,Private room,220,2,1,0.05,1,0
Brooklyn,Bushwick,Private room,85,1,0,1.3732214298586618,1,0
Brooklyn,Flatbush,Entire home/apt,70,20,0,1.3732214298586618,1,0
Queens,East Elmhurst,Entire home/apt,120,1,118,6.05,2,79
Manhattan,Harlem,Private room,60,2,8,1.41,1,80
Manhattan,Theater District,Entire home/apt,215,29,0,1.3732214298586618,327,338
Brooklyn,Flatbush,Private room,95,1,12,1.3,1,179
Manhattan,Harlem,Private room,60,1,14,1.35,1,310
Manhattan,Chelsea,Entire home/apt,93,39,25,0.35,19,245
Bronx,Allerton,Private room,35,7,2,0.17,1,90
Manhattan,East Village,Entire home/apt,120,5,0,1.3732214298586618,1,0
Manhattan,Morningside Heights,Private room,125,1,27,2.87,1,80
Manhattan,Lower East Side,Entire home/apt,145,2,4,0.06,1,0
Manhattan,Harlem,Private room,37,1,0,1.3732214298586618,1,0
Brooklyn,Bushwick,Private room,100,1,0,1.3732214298586618,1,35
Brooklyn,Bushwick,Entire home/apt,125,2,2,2.0,1,7
Brooklyn,Greenpoint,Private room,120,3,1,0.28,1,87
Brooklyn,Carroll Gardens,Private room,100,1,0,1.3732214298586618,1,0
Queens,Elmhurst,Entire home/apt,99,4,5,0.23,2,5
Manhattan,Nolita,Private room,109,1,2,0.17,8,0
Queens,Jackson Heights,Private room,42,2,43,2.87,2,33
Brooklyn,Williamsburg,Entire home/apt,139,5,0,1.3732214298586618,1,0
Manhattan,Inwood,Private room,50,2,58,0.96,2,188
Brooklyn,Williamsburg,Entire home/apt,225,10,22,0.38,1,52
Manhattan,Lower East Side,Entire home/apt,129,4,78,2.07,1,26
Manhattan,Upper East Side,Entire home/apt,175,4,0,1.3732214298586618,1,0
Manhattan,East Village,Entire home/apt,199,3,42,0.63,1,330
Manhattan,Hell's Kitchen,Private room,130,12,2,0.14,1,31
Queens,Kew Gardens,Private room,73,9,2,0.17,4,276
Manhattan,Upper West Side,Entire home/apt,900,1,0,1.3732214298586618,1,0
Bronx,Longwood,Private room,35,1,38,2.82,2,75
Manhattan,Lower East Side,Entire home/apt,250,13,9,0.21,1,44
Manhattan,Greenwich Village,Entire home/apt,150,2,14,0.79,3,0
Manhattan,Midtown,Entire home/apt,450,6,2,0.31,1,48
Brooklyn,Crown Heights,Entire home/apt,188,3,11,0.45,1,144
Queens,Jackson Heights,Entire home/apt,115,2,3,0.84,1,6
Brooklyn,Midwood,Private room,50,7,7,0.12,1,364
Manhattan,Lower East Side,Private room,73,30,0,1.3732214298586618,4,364
Manhattan,Tribeca,Entire home/apt,650,1,1,0.03,1,0
Manhattan,East Village,Private room,85,5,12,0.2,1,0
Manhattan,Chinatown,Entire home/apt,105,14,12,0.65,1,0
Brooklyn,Williamsburg,Entire home/apt,180,4,43,1.22,1,82
Manhattan,Harlem,Private room,90,2,67,2.99,1,63
Queens,Long Island City,Private room,44,30,0,1.3732214298586618,103,247
Brooklyn,Greenpoint,Entire home/apt,210,2,31,1.37,1,0
Brooklyn,Bushwick,Private room,45,1,2,0.08,1,0
Manhattan,Harlem,Private room,180,3,14,0.16,3,348
Manhattan,Financial District,Entire home/apt,175,30,0,1.3732214298586618,1,311
Brooklyn,Bedford-Stuyvesant,Private room,55,3,1,0.05,1,0
Brooklyn,Greenpoint,Entire home/apt,129,30,0,1.3732214298586618,52,5
Queens,Sunnyside,Entire home/apt,72,2,14,1.12,1,0
Queens,Ridgewood,Entire home/apt,118,2,153,3.77,1,337
Manhattan,Washington Heights,Entire home/apt,135,1,13,2.0,1,0
Queens,Ridgewood,Private room,49,2,37,0.73,2,298
Queens,Sunnyside,Shared room,50,1,9,1.03,2,0
Manhattan,Hell's Kitchen,Entire home/apt,150,4,1,0.02,1,0
Manhattan,Lower East Side,Private room,123,1,7,4.47,3,146
Queens,Ridgewood,Entire home/apt,99,3,10,5.26,1,152
Manhattan,Financial District,Entire home/apt,150,3,0,1.3732214298586618,1,0
Brooklyn,Williamsburg,Private room,75,2,2,0.85,1,188
Manhattan,Lower East Side,Private room,150,3,17,1.65,1,188
Manhattan,East Harlem,Entire home/apt,179,2,55,1.06,1,185
Brooklyn,Bedford-Stuyvesant,Private room,46,3,6,0.72,1,0
Brooklyn,Bushwick,Private room,50,2,72,2.35,2,293
Brooklyn,Bedford-Stuyvesant,Private room,47,3,5,0.2,2,0
Brooklyn,East Flatbush,Private room,118,2,2,0.11,4,45
Manhattan,Upper West Side,Entire home/apt,377,30,0,1.3732214298586618,232,334
Brooklyn,Williamsburg,Entire home/apt,290,4,12,1.25,1,117
Brooklyn,Bushwick,Private room,59,5,8,0.74,1,177
Queens,Rego Park,Private room,31,1,37,1.3,4,0
Bronx,Fordham,Private room,39,2,24,2.73,1,211
Queens,Forest Hills,Private room,60,1,0,1.3732214298586618,1,0
Bronx,Mount Eden,Private room,30,2,291,3.69,1,208
Brooklyn,Williamsburg,Entire home/apt,150,3,6,0.61,1,0
Brooklyn,Bushwick,Private room,65,2,0,1.3732214298586618,1,0
Manhattan,Murray Hill,Entire home/apt,350,30,0,1.3732214298586618,23,331
Queens,Long Island City,Entire home/apt,100,2,1,0.03,1,0
Manhattan,Lower East Side,Private room,175,1,11,2.84,1,250
Manhattan,Inwood,Entire home/apt,69,1,1,0.02,1,0
Manhattan,Inwood,Private room,44,3,108,1.11,3,311
Manhattan,Upper West Side,Entire home/apt,170,4,0,1.3732214298586618,1,30
Queens,Richmond Hill,Entire home/apt,175,2,7,2.88,2,345
Manhattan,East Village,Entire home/apt,250,3,1,0.03,1,0
Brooklyn,Williamsburg,Private room,65,5,1,0.39,1,35
Brooklyn,Williamsburg,Entire home/apt,148,2,11,0.58,1,64
Bronx,Concourse,Private room,85,2,11,0.18,2,363
Manhattan,Harlem,Private room,60,2,1,0.02,1,0
Brooklyn,Brooklyn Heights,Private room,60,3,0,1.3732214298586618,1,0
Brooklyn,Crown Heights,Entire home/apt,125,2,24,2.17,1,55
Manhattan,Chinatown,Private room,69,30,1,0.03,1,359
Brooklyn,Bushwick,Private room,35,1,0,1.3732214298586618,1,0
Brooklyn,Flatbush,Entire home/apt,100,3,13,0.91,1,7
Manhattan,Chelsea,Entire home/apt,365,6,100,2.37,1,257
Brooklyn,Williamsburg,Private room,69,28,17,0.61,6,229
Manhattan,Lower East Side,Entire home/apt,99,2,1,1.0,1,333
Brooklyn,Williamsburg,Private room,60,1,5,0.2,1,0
Brooklyn,Bushwick,Private room,85,3,33,2.47,1,7
Queens,Astoria,Entire home/apt,110,2,7,0.37,1,0
Manhattan,East Harlem,Private room,90,4,10,3.53,1,24
Queens,Sunnyside,Private room,69,3,21,0.78,1,177
Manhattan,Washington Heights,Private room,100,2,4,0.13,1,0
Manhattan,Upper East Side,Entire home/apt,900,7,28,0.58,1,340
Manhattan,Tribeca,Entire home/apt,210,30,0,1.3732214298586618,87,262
Manhattan,East Village,Entire home/apt,120,1,5,0.65,1,191
Manhattan,West Village,Entire home/apt,350,2,16,0.47,1,16
Queens,Jamaica,Entire home/apt,129,30,0,1.3732214298586618,1,348
Manhattan,East Village,Private room,95,2,2,0.04,2,0
Manhattan,East Harlem,Entire home/apt,200,6,0,1.3732214298586618,1,0
Queens,East Elmhurst,Private room,46,1,543,11.59,5,163
Queens,Woodside,Private room,90,1,0,1.3732214298586618,1,179
Manhattan,Upper West Side,Private room,110,4,7,0.23,1,125
Brooklyn,Sunset Park,Private room,45,4,0,1.3732214298586618,1,179
Bronx,Mott Haven,Private room,65,1,35,4.32,1,295
Manhattan,Hell's Kitchen,Entire home/apt,225,4,128,3.39,1,218
Manhattan,Harlem,Private room,63,30,1,0.37,6,1
Manhattan,SoHo,Entire home/apt,700,2,1,0.04,1,0
Brooklyn,Windsor Terrace,Entire home/apt,250,1,2,0.18,1,0
Brooklyn,Carroll Gardens,Entire home/apt,425,6,5,0.08,1,321
Brooklyn,Bushwick,Private room,99,2,0,1.3732214298586618,1,1
Manhattan,Inwood,Entire home/apt,200,2,1,1.0,1,234
Manhattan,Upper West Side,Entire home/apt,200,1,0,1.3732214298586618,1,0
Manhattan,Upper West Side,Entire home/apt,225,59,0,1.3732214298586618,1,358
Brooklyn,Williamsburg,Entire home/apt,250,6,1,0.16,1,0
Manhattan,East Harlem,Entire home/apt,289,2,74,2.09,1,243
Queens,Ditmars Steinway,Private room,70,2,6,0.38,1,0
Brooklyn,East Flatbush,Private room,200,1,2,0.08,1,178
Brooklyn,Gowanus,Private room,139,1,82,4.16,17,355
Manhattan,Inwood,Private room,36,1,1,0.07,3,0
Manhattan,West Village,Entire home/apt,225,3,15,1.72,1,6
Brooklyn,East Flatbush,Private room,7500,1,8,6.15,2,179
Manhattan,Tribeca,Entire home/apt,251,1,12,0.43,1,0
Manhattan,Harlem,Entire home/apt,165,3,60,1.49,1,278
Queens,Ridgewood,Private room,33,3,2,0.06,1,0
Brooklyn,East Flatbush,Entire home/apt,80,3,38,1.45,2,78
Manhattan,Harlem,Entire home/apt,290,1,2,2.0,1,161
Brooklyn,Bedford-Stuyvesant,Private room,110,1,5,1.1,1,86
Manhattan,Hell's Kitchen,Entire home/apt,199,7,6,3.46,1,102
Brooklyn,East New York,Entire home/apt,75,6,30,1.84,1,0
Manhattan,Lower East Side,Private room,89,1,21,1.41,1,2
Manhattan,Greenwich Village,Private room,175,3,1,0.07,1,0
Brooklyn,Kensington,Private room,65,4,7,0.22,1,0
Brooklyn,Williamsburg,Private room,95,1,0,1.3732214298586618,1,0
Manhattan,Washington Heights,Private room,58,1,1,0.03,2,0
Manhattan,Lower East Side,Private room,103,3,38,4.58,1,99
Brooklyn,East Flatbush,Private room,65,1,0,1.3732214298586618,1,0
Brooklyn,Crown Heights,Private room,65,1,0,1.3732214298586618,1,342
Brooklyn,Bedford-Stuyvesant,Private room,50,4,3,1.76,1,365
Manhattan,Hell's Kitchen,Entire home/apt,176,4,105,2.99,1,143
Brooklyn,Boerum Hill,Entire home/apt,1000,4,0,1.3732214298586618,1,0
Manhattan,Hell's Kitchen,Entire home/apt,200,1,0,1.3732214298586618,1,0
Manhattan,Battery Park City,Entire home/apt,225,90,1,0.02,1,362
Manhattan,Midtown,Entire home/apt,690,3,1,0.04,2,0
Manhattan,Hell's Kitchen,Entire home/apt,399,3,0,1.3732214298586618,1,218
Queens,Astoria,Private room,70,2,26,0.75,1,128
Manhattan,Upper West Side,Entire home/apt,1000,30,27,0.57,11,364
Manhattan,Upper East Side,Private room,85,2,138,2.06,1,196
Manhattan,Lower East Side,Private room,91,2,42,1.1,1,80
Staten Island,South Beach,Private room,80,1,38,1.1,1,308
Bronx,Bronxdale,Private room,25,2,1,0.14,1,0
Queens,Sunnyside,Entire home/apt,100,6,0,1.3732214298586618,1,10
Manhattan,Upper East Side,Entire home/apt,123,4,13,1.94,1,1
Manhattan,Murray Hill,Shared room,150,3,17,1.17,1,14
Brooklyn,Flatbush,Entire home/apt,89,2,9,0.29,1,0
Manhattan,Harlem,Entire home/apt,275,4,5,2.78,2,284
Manhattan,Washington Heights,Private room,90,1,271,4.32,1,281
Brooklyn,Crown Heights,Private room,49,7,6,0.41,2,299
Manhattan,Upper West Side,Private room,43,10,0,1.3732214298586618,1,128
Brooklyn,Williamsburg,Private room,100,1,0,1.3732214298586618,1,0
Manhattan,Upper East Side,Shared room,85,2,16,0.25,1,0
Brooklyn,Bedford-Stuyvesant,Private room,50,3,102,2.02,6,364
Manhattan,Theater District,Entire home/apt,215,29,0,1.3732214298586618,327,342
Queens,Ridgewood,Private room,55,3,3,0.32,2,0
Brooklyn,Fort Greene,Private room,125,3,60,2.79,1,0
Manhattan,Lower East Side,Private room,118,1,3,0.17,3,0
Manhattan,East Village,Entire home/apt,160,1,169,3.22,4,238
Manhattan,West Village,Private room,180,3,1,0.51,2,123
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,3,46,2.36,2,255
Manhattan,Harlem,Private room,90,1,1,1.0,3,179
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,214,5,37,1.57,1,211
Brooklyn,Williamsburg,Private room,129,2,129,1.67,3,36
Manhattan,East Harlem,Private room,109,1,2,0.44,6,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,199,2,222,3.92,2,238
Manhattan,East Village,Private room,50,7,0,1.3732214298586618,1,0
Manhattan,Chelsea,Entire home/apt,200,4,0,1.3732214298586618,1,0
Manhattan,Upper West Side,Entire home/apt,149,10,9,0.19,1,0
Brooklyn,South Slope,Entire home/apt,250,4,11,0.17,1,0
Bronx,Eastchester,Entire home/apt,155,2,11,0.29,13,348
Bronx,Wakefield,Private room,55,1,156,7.0,4,318
Manhattan,East Harlem,Private room,70,1,33,1.28,3,313
Manhattan,East Village,Entire home/apt,129,7,10,0.29,1,0
Brooklyn,Bedford-Stuyvesant,Private room,70,1,37,0.48,3,325
Brooklyn,Bushwick,Private room,40,3,71,1.47,1,24
Brooklyn,Williamsburg,Private room,65,2,9,3.42,4,43
Manhattan,East Harlem,Private room,80,2,2,2.0,1,11
Manhattan,Midtown,Entire home/apt,250,2,33,0.73,1,7
Brooklyn,East Flatbush,Private room,43,3,3,0.43,2,58
Manhattan,Upper East Side,Private room,120,1,2,0.31,1,171
Queens,Forest Hills,Private room,30,1,1,0.11,2,363
Manhattan,Upper East Side,Entire home/apt,125,30,8,0.23,91,343
Manhattan,Chelsea,Entire home/apt,195,3,0,1.3732214298586618,1,252
Brooklyn,East New York,Private room,40,1,104,4.53,5,36
Queens,Springfield Gardens,Private room,75,1,29,6.35,7,163
Manhattan,Harlem,Private room,70,3,122,2.19,2,243
Brooklyn,Williamsburg,Entire home/apt,85,2,0,1.3732214298586618,2,0
Manhattan,Hell's Kitchen,Entire home/apt,180,1,41,4.73,3,30
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,1,37,1.53,1,5
Brooklyn,Bedford-Stuyvesant,Private room,212,3,1,0.33,3,109
Manhattan,Kips Bay,Entire home/apt,199,1,5,2.83,1,85
Manhattan,Chelsea,Private room,290,2,35,0.36,1,20
Queens,Forest Hills,Entire home/apt,268,3,4,0.19,2,154
Manhattan,Battery Park City,Entire home/apt,225,3,2,0.04,1,0
Brooklyn,Crown Heights,Private room,80,5,0,1.3732214298586618,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,85,1,40,0.83,10,293
Queens,Woodside,Entire home/apt,120,1,85,3.37,2,340
Manhattan,Hell's Kitchen,Private room,110,2,13,0.74,3,23
Brooklyn,Bushwick,Private room,65,5,5,1.97,1,64
Manhattan,East Harlem,Private room,90,2,3,0.15,1,0
Manhattan,Midtown,Private room,100,1,8,6.67,5,236
Brooklyn,Fort Greene,Private room,90,1,2,0.06,2,364
Manhattan,East Village,Entire home/apt,220,2,48,1.21,1,135
Manhattan,East Village,Private room,125,1,2,0.05,1,0
Brooklyn,Park Slope,Private room,110,2,0,1.3732214298586618,1,0
Manhattan,East Village,Private room,100,1,10,1.15,2,90
Bronx,Belmont,Private room,29,3,9,0.43,2,322
Manhattan,East Harlem,Private room,50,5,16,0.68,6,15
Queens,Long Island City,Private room,71,7,94,3.66,2,194
Manhattan,West Village,Private room,105,1,14,0.36,1,0
Manhattan,Hell's Kitchen,Entire home/apt,320,3,3,3.0,1,160
Brooklyn,Crown Heights,Private room,41,3,1,0.04,1,0
Brooklyn,East Flatbush,Private room,89,1,1,0.59,6,365
Manhattan,Upper East Side,Entire home/apt,105,3,10,2.56,1,0
Manhattan,Midtown,Private room,125,1,0,1.3732214298586618,1,0
Manhattan,Upper East Side,Entire home/apt,275,3,7,0.11,3,157
Brooklyn,Williamsburg,Entire home/apt,184,4,79,2.21,1,222
Brooklyn,Williamsburg,Entire home/apt,160,3,1,0.03,1,0
Brooklyn,Bensonhurst,Private room,125,2,4,0.07,2,0
Brooklyn,Bushwick,Private room,45,10,2,0.19,1,13
Brooklyn,Sunset Park,Entire home/apt,82,3,2,1.11,1,0
Manhattan,East Village,Private room,100,2,74,2.2,3,62
Manhattan,Washington Heights,Entire home/apt,150,3,36,1.13,1,5
Manhattan,Harlem,Private room,62,2,24,0.55,4,97
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,60,1.0,1,156
Manhattan,Nolita,Entire home/apt,175,2,9,0.47,1,0
Manhattan,Financial District,Entire home/apt,299,29,0,1.3732214298586618,96,311
Brooklyn,Bushwick,Private room,30,7,3,0.15,1,0
Manhattan,East Village,Entire home/apt,480,10,59,0.87,1,24
Brooklyn,Bedford-Stuyvesant,Entire home/apt,179,3,52,2.39,1,185
Brooklyn,Bedford-Stuyvesant,Private room,45,4,0,1.3732214298586618,1,0
Manhattan,Inwood,Private room,27,29,1,0.77,37,32
Brooklyn,Bedford-Stuyvesant,Private room,50,2,4,0.21,1,0
Manhattan,SoHo,Private room,100,1,0,1.3732214298586618,7,331
Manhattan,Inwood,Entire home/apt,90,26,4,0.35,1,58
Manhattan,East Harlem,Entire home/apt,120,5,52,1.29,2,323
Brooklyn,Carroll Gardens,Entire home/apt,150,2,52,1.33,1,53
Manhattan,Upper West Side,Entire home/apt,325,1,43,1.12,1,223
Brooklyn,Prospect Heights,Entire home/apt,250,1,0,1.3732214298586618,2,175
Queens,East Elmhurst,Private room,78,1,4,0.41,2,363
Manhattan,East Harlem,Entire home/apt,105,4,8,0.5,1,0
Brooklyn,Bushwick,Private room,45,2,13,0.25,1,0
Manhattan,Midtown,Private room,150,2,2,0.05,2,0
Queens,Sunnyside,Private room,85,10,27,0.71,1,125
Brooklyn,Williamsburg,Private room,65,1,20,4.23,4,107
Bronx,Tremont,Shared room,50,1,7,1.54,1,158
Queens,Far Rockaway,Private room,60,1,1,0.16,1,90
Brooklyn,Crown Heights,Entire home/apt,200,3,153,2.64,1,260
Brooklyn,Williamsburg,Entire home/apt,190,4,1,0.02,1,0
Manhattan,Upper East Side,Entire home/apt,200,31,2,0.29,33,325
Manhattan,East Village,Private room,108,2,17,0.35,1,0
Queens,Forest Hills,Entire home/apt,180,2,105,1.8,5,190
Brooklyn,Williamsburg,Entire home/apt,117,2,14,0.82,1,0
Brooklyn,Bushwick,Entire home/apt,199,6,0,1.3732214298586618,1,85
Manhattan,Financial District,Entire home/apt,214,2,1,1.0,327,319
Queens,Astoria,Private room,75,2,4,4.0,2,8
Brooklyn,Bushwick,Entire home/apt,70,30,0,1.3732214298586618,1,0
Manhattan,Morningside Heights,Entire home/apt,290,4,3,0.08,1,0
Manhattan,Hell's Kitchen,Entire home/apt,383,3,24,0.41,1,251
Brooklyn,Bedford-Stuyvesant,Shared room,37,2,3,0.13,3,343
Brooklyn,Bedford-Stuyvesant,Private room,75,1,25,1.93,1,170
Brooklyn,Bedford-Stuyvesant,Private room,0,1,93,4.28,6,176
Manhattan,Midtown,Private room,975,30,0,1.3732214298586618,1,363
Manhattan,Battery Park City,Entire home/apt,980,3,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,89,5,1,0.14,2,7
Manhattan,Upper East Side,Entire home/apt,350,2,24,2.48,1,242
Queens,Flushing,Private room,48,1,52,2.03,4,0
Manhattan,Gramercy,Entire home/apt,150,30,1,0.04,96,282
Brooklyn,Crown Heights,Private room,96,3,1,0.02,1,0
Brooklyn,Williamsburg,Entire home/apt,85,3,93,1.9,1,13
Queens,Jackson Heights,Private room,110,2,0,1.3732214298586618,1,85
Brooklyn,Carroll Gardens,Entire home/apt,300,7,0,1.3732214298586618,1,0
Manhattan,Midtown,Entire home/apt,247,5,25,0.51,1,0
Queens,Maspeth,Private room,56,28,14,0.2,2,310
Brooklyn,Williamsburg,Entire home/apt,169,1,68,0.67,2,215
Manhattan,Hell's Kitchen,Private room,140,2,4,0.42,4,365
Brooklyn,Downtown Brooklyn,Private room,80,5,0,1.3732214298586618,1,0
Brooklyn,Bedford-Stuyvesant,Private room,75,1,19,0.29,5,289
Manhattan,Gramercy,Entire home/apt,160,2,1,0.02,1,0
Manhattan,Kips Bay,Entire home/apt,150,15,1,0.1,1,5
Manhattan,Upper West Side,Entire home/apt,96,1,2,0.05,1,0
Manhattan,Financial District,Entire home/apt,300,2,21,1.14,1,0
Brooklyn,Williamsburg,Entire home/apt,160,3,25,0.29,1,0
Manhattan,Gramercy,Private room,150,1,2,0.05,1,0
Manhattan,East Village,Private room,100,5,2,0.06,1,0
Queens,Sunnyside,Private room,139,1,3,0.12,4,365
Brooklyn,Bedford-Stuyvesant,Private room,100,1,1,0.13,1,0
Manhattan,Lower East Side,Entire home/apt,175,1,22,5.5,1,64
Queens,Long Island City,Entire home/apt,76,3,9,0.29,1,0
Manhattan,East Village,Entire home/apt,400,1,0,1.3732214298586618,1,0
Queens,Jamaica,Private room,55,1,5,0.27,4,155
Manhattan,Hell's Kitchen,Private room,69,2,22,0.64,2,7
Brooklyn,Williamsburg,Private room,350,1,19,0.64,4,244
Staten Island,Stapleton,Private room,55,1,13,0.48,3,362
Manhattan,Upper East Side,Entire home/apt,130,1,0,1.3732214298586618,1,28
Brooklyn,Williamsburg,Entire home/apt,160,2,21,3.28,1,335
Brooklyn,Williamsburg,Entire home/apt,120,1,1,0.03,1,0
Manhattan,Hell's Kitchen,Entire home/apt,199,30,4,0.14,91,0
Brooklyn,Williamsburg,Private room,65,1,14,0.49,1,0
Manhattan,Kips Bay,Entire home/apt,175,30,1,0.04,91,126
Manhattan,East Village,Private room,275,2,8,0.31,2,0
Bronx,Throgs Neck,Entire home/apt,80,1,0,1.3732214298586618,1,1
Manhattan,Financial District,Private room,180,1,1,0.17,1,0
Manhattan,East Village,Entire home/apt,149,5,107,2.84,1,12
Brooklyn,Crown Heights,Private room,55,1,4,0.1,1,0
Brooklyn,East Flatbush,Entire home/apt,105,1,43,1.17,1,13
Brooklyn,Bedford-Stuyvesant,Private room,56,3,17,0.45,1,0
Manhattan,Harlem,Private room,75,3,11,0.35,1,14
Manhattan,Upper West Side,Private room,72,1,5,0.41,1,32
Brooklyn,Bushwick,Entire home/apt,84,2,115,5.92,2,6
Brooklyn,Greenpoint,Entire home/apt,129,30,6,0.09,52,249
Brooklyn,Prospect-Lefferts Gardens,Private room,49,2,9,0.83,4,132
Manhattan,Harlem,Private room,94,3,2,0.08,1,0
Manhattan,Midtown,Entire home/apt,115,30,0,1.3732214298586618,52,343
Manhattan,Greenwich Village,Entire home/apt,200,2,146,3.13,1,264
Brooklyn,Bushwick,Private room,37,5,0,1.3732214298586618,1,0
Manhattan,Murray Hill,Entire home/apt,241,2,4,1.3,327,130
Brooklyn,Flatbush,Entire home/apt,95,2,90,4.79,1,73
Queens,Flushing,Entire home/apt,135,3,12,3.13,2,178
Queens,Woodhaven,Private room,40,2,16,1.24,3,330
Manhattan,Harlem,Private room,60,1,49,4.85,3,0
Brooklyn,Williamsburg,Private room,50,1,1,0.02,1,0
Manhattan,Washington Heights,Private room,90,1,0,1.3732214298586618,2,179
Manhattan,Chelsea,Entire home/apt,198,30,0,1.3732214298586618,1,125
Brooklyn,Williamsburg,Private room,69,2,9,0.46,3,0
Manhattan,Lower East Side,Entire home/apt,198,2,5,0.23,1,0
Manhattan,Hell's Kitchen,Entire home/apt,185,10,23,1.68,1,68
Brooklyn,Brooklyn Heights,Private room,125,3,9,4.58,1,252
Manhattan,West Village,Private room,115,1,3,0.12,2,0
Manhattan,Flatiron District,Entire home/apt,195,1,1,0.02,1,0
Manhattan,Harlem,Entire home/apt,100,185,0,1.3732214298586618,4,358
Manhattan,East Village,Entire home/apt,130,1,4,1.46,2,120
Queens,Woodside,Private room,51,3,38,3.65,3,146
Brooklyn,Williamsburg,Entire home/apt,350,2,8,1.06,1,129
Brooklyn,Greenpoint,Entire home/apt,150,2,8,1.03,1,0
