neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Entire home/apt,175.0,2.0,370.0,3.74,1.0,3.0
Brooklyn,Entire home/apt,120.0,5.0,104.0,1.04,1.0,4.0
Brooklyn,Entire home/apt,200.0,5.0,4.0,0.07,1.0,3.0
Brooklyn,Private room,165.0,4.0,11.0,0.11,3.0,5.0
Manhattan,Entire home/apt,125.0,4.0,1.0,0.01,3.0,4.0
Manhattan,Entire home/apt,130.0,30.0,19.0,0.19,1.0,3.0
Brooklyn,Entire home/apt,123.0,30.0,15.0,0.15,1.0,3.0
Manhattan,Private room,67.0,2.0,136.0,1.37,1.0,2.0
Queens,Private room,50.0,1.0,43.0,0.45,1.0,3.0
Brooklyn,Entire home/apt,130.0,7.0,98.0,0.99,1.0,4.0
Manhattan,Entire home/apt,212.0,21.0,45.0,0.46,1.0,0.0
Brooklyn,Entire home/apt,190.0,3.0,124.0,1.76,1.0,0.0
Brooklyn,Private room,599.0,3.0,9.0,0.09,28.0,4.0
Manhattan,Entire home/apt,249.0,5.0,166.0,1.68,2.0,4.0
Queens,Private room,70.0,27.0,13.0,0.13,1.0,4.0
Brooklyn,Entire home/apt,100.0,30.0,15.0,0.16,5.0,5.0
Manhattan,Private room,60.0,3.0,380.0,3.83,2.0,4.0
Brooklyn,Entire home/apt,135.0,2.0,86.0,0.87,1.0,5.0
Brooklyn,Entire home/apt,175.0,3.0,248.0,2.53,3.0,3.0
Manhattan,Entire home/apt,120.0,5.0,49.0,0.56,1.0,4.0
Manhattan,Entire home/apt,169.0,18.0,54.0,0.57,1.0,5.0
Brooklyn,Entire home/apt,165.0,7.0,3.0,0.03,1.0,4.0
Manhattan,Entire home/apt,225.0,2.0,56.0,0.57,1.0,4.0
Brooklyn,Private room,95.0,2.0,163.0,1.66,2.0,0.0
Brooklyn,Private room,55.0,2.0,247.0,2.51,2.0,5.0
Manhattan,Private room,85.0,10.0,116.0,1.17,1.0,5.0
Brooklyn,Entire home/apt,199.0,14.0,27.0,0.28,2.0,4.0
Manhattan,Entire home/apt,211.0,1.0,52.0,0.6,3.0,4.0
Manhattan,Private room,65.0,14.0,35.0,0.35,1.0,4.0
Manhattan,Entire home/apt,99.0,1.0,320.0,3.23,1.0,5.0
Queens,Entire home/apt,110.0,4.0,30.0,0.32,1.0,2.0
Brooklyn,Entire home/apt,80.0,3.0,225.0,2.27,4.0,3.0
Brooklyn,Entire home/apt,150.0,30.0,95.0,0.96,1.0,5.0
Brooklyn,Entire home/apt,110.0,4.0,70.0,0.75,1.0,1.0
Manhattan,Private room,290.0,2.0,35.0,0.36,1.0,5.0
Brooklyn,Entire home/apt,190.0,4.0,50.0,0.51,1.0,4.0
Brooklyn,Entire home/apt,200.0,2.0,29.0,0.31,1.0,4.0
Brooklyn,Entire home/apt,165.0,2.0,23.0,0.23,2.0,4.0
Manhattan,Entire home/apt,110.0,2.0,142.0,1.44,2.0,4.0
Manhattan,Entire home/apt,395.0,2.0,70.0,0.73,1.0,4.0
Brooklyn,Private room,99.0,2.0,38.0,0.54,2.0,0.0
Brooklyn,Private room,39.0,1.0,82.0,0.94,2.0,3.0
Manhattan,Entire home/apt,189.0,2.0,403.0,4.1,3.0,4.0
Brooklyn,Entire home/apt,260.0,30.0,3.0,0.03,1.0,5.0
Manhattan,Entire home/apt,122.0,1.0,116.0,1.18,5.0,4.0
Brooklyn,Entire home/apt,165.0,2.0,175.0,1.79,1.0,3.0
Queens,Entire home/apt,97.0,3.0,28.0,1.21,3.0,3.0
Manhattan,Private room,130.0,4.0,105.0,1.07,1.0,2.0
Brooklyn,Entire home/apt,225.0,10.0,22.0,0.38,1.0,4.0
Brooklyn,Private room,50.0,2.0,263.0,2.69,2.0,0.0
Brooklyn,Entire home/apt,170.0,3.0,86.0,0.91,2.0,1.0
Brooklyn,Entire home/apt,250.0,7.0,18.0,0.21,1.0,2.0
Brooklyn,Entire home/apt,141.0,5.0,8.0,0.21,1.0,5.0
Brooklyn,Entire home/apt,64.0,20.0,70.0,0.73,1.0,2.0
Brooklyn,Entire home/apt,249.0,3.0,150.0,1.55,1.0,4.0
Manhattan,Entire home/apt,185.0,2.0,69.0,0.71,1.0,3.0
Brooklyn,Entire home/apt,120.0,3.0,232.0,2.41,1.0,2.0
Brooklyn,Entire home/apt,495.0,1.0,35.0,0.41,1.0,5.0
Manhattan,Entire home/apt,175.0,3.0,68.0,0.69,1.0,4.0
Manhattan,Entire home/apt,259.0,8.0,17.0,0.17,1.0,4.0
Brooklyn,Entire home/apt,250.0,4.0,52.0,0.72,1.0,4.0
Manhattan,Entire home/apt,295.0,2.0,74.0,0.76,2.0,5.0
Brooklyn,Entire home/apt,451.0,2.0,72.0,0.86,1.0,3.0
Manhattan,Entire home/apt,165.0,2.0,191.0,2.18,1.0,4.0
Bronx,Entire home/apt,77.0,1.0,197.0,2.49,1.0,4.0
Queens,Entire home/apt,129.0,1.0,414.0,4.34,1.0,5.0
