neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
Hell's Kitchen,150,7,23,0.42,1,0,0,1,0,0,0,0
East Flatbush,104,59,48,0.69,1,122,1,0,0,0,0,0
Sunset Park,359,5,8,0.23,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,150,2,0,1.3732214298586618,1,88,1,0,0,0,1,0
East Harlem,49,5,14,1.37,6,12,0,1,0,0,1,0
East Village,192,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Crown Heights,40,30,0,1.3732214298586618,4,354,1,0,0,0,1,0
Upper East Side,127,5,4,1.74,1,192,0,1,0,0,0,0
East Village,173,12,0,1.3732214298586618,1,0,0,1,0,0,0,0
Kips Bay,159,30,4,0.12,91,364,0,1,0,0,0,0
Parkchester,70,93,0,1.3732214298586618,1,134,0,0,0,0,0,0
Financial District,40,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,59,1,237,5.09,7,70,1,0,0,0,1,0
Springfield Gardens,45,1,17,2.6,3,0,0,0,1,0,1,0
Williamsburg,300,14,0,1.3732214298586618,1,38,1,0,0,0,0,0
Bedford-Stuyvesant,100,2,2,0.05,2,0,1,0,0,0,0,0
Rockaway Beach,200,2,2,2.0,1,152,0,0,1,0,0,0
Woodside,53,2,33,3.67,5,157,0,0,1,0,1,0
Midtown,737,3,1,0.21,49,222,0,1,0,0,0,0
Washington Heights,39,4,48,0.82,2,12,0,1,0,0,1,0
East Village,220,15,0,1.3732214298586618,1,61,0,1,0,0,0,0
Harlem,75,4,1,0.57,8,340,0,1,0,0,1,0
Prospect-Lefferts Gardens,150,29,11,0.49,1,95,1,0,0,0,0,0
West Village,130,8,6,1.13,1,1,0,1,0,0,0,0
Harlem,45,3,1,0.03,2,0,0,1,0,0,1,0
Williamsburg,199,3,3,0.08,1,0,1,0,0,0,0,0
Harlem,49,2,1,0.7,1,23,0,1,0,0,1,0
SoHo,500,4,72,1.8,1,330,0,1,0,0,0,0
Midwood,68,7,1,0.01,1,87,1,0,0,0,1,0
Bedford-Stuyvesant,48,15,0,1.3732214298586618,1,0,1,0,0,0,1,0
Sunset Park,195,3,116,2.56,1,38,1,0,0,0,0,0
Williamsburg,250,3,6,0.18,1,114,1,0,0,0,0,0
Bedford-Stuyvesant,125,10,2,0.18,1,24,1,0,0,0,0,0
Williamsburg,60,1,81,8.97,4,0,1,0,0,0,1,0
Lower East Side,325,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Financial District,299,2,2,0.2,1,0,0,1,0,0,0,0
Sunnyside,60,4,3,0.13,1,0,0,0,1,0,1,0
Harlem,174,5,6,0.28,1,8,0,1,0,0,0,0
Kips Bay,125,30,2,0.44,91,346,0,1,0,0,0,0
Jamaica,150,1,4,2.26,3,356,0,0,1,0,1,0
Bushwick,150,3,0,1.3732214298586618,3,28,1,0,0,0,1,0
Bushwick,75,3,3,0.14,8,352,1,0,0,0,1,0
Midtown,799,6,40,0.58,1,365,0,1,0,0,0,0
Upper East Side,130,2,5,0.11,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,125,2,5,0.14,1,0,1,0,0,0,0,0
Harlem,86,2,1,1.0,1,90,0,1,0,0,1,0
Bedford-Stuyvesant,60,2,65,2.78,1,58,1,0,0,0,1,0
Bushwick,50,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Upper West Side,180,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Greenpoint,75,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Little Italy,165,30,2,0.33,91,347,0,1,0,0,0,0
Crown Heights,70,5,12,0.67,3,0,1,0,0,0,1,0
Hell's Kitchen,265,30,0,1.3732214298586618,25,290,0,1,0,0,0,0
Sunset Park,350,2,55,2.37,1,281,1,0,0,0,0,0
SoHo,119,1,7,2.44,10,23,0,1,0,0,1,0
East Flatbush,27,30,7,0.16,7,342,1,0,0,0,0,1
Lower East Side,400,3,8,1.1,1,91,0,1,0,0,0,0
Lower East Side,275,3,20,1.36,1,359,0,1,0,0,0,0
Bushwick,65,1,23,0.69,1,290,1,0,0,0,1,0
Prospect-Lefferts Gardens,90,1,81,3.5,1,35,1,0,0,0,0,0
Upper West Side,129,1,83,4.0,2,365,0,1,0,0,1,0
Flatlands,125,3,2,0.05,1,161,1,0,0,0,0,0
Crown Heights,50,500,10,0.22,1,365,1,0,0,0,1,0
Prospect-Lefferts Gardens,70,3,0,1.3732214298586618,1,50,1,0,0,0,1,0
Astoria,115,2,198,2.01,1,257,0,0,1,0,0,0
Hell's Kitchen,135,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Glendale,50,1,0,1.3732214298586618,1,177,0,0,1,0,1,0
Washington Heights,130,5,47,0.59,1,9,0,1,0,0,0,0
Flushing,50,7,0,1.3732214298586618,1,89,0,0,1,0,1,0
East New York,106,1,33,7.56,2,15,1,0,0,0,0,0
Williamsburg,45,31,3,0.06,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,69,2,63,2.53,2,102,1,0,0,0,1,0
Harlem,80,5,5,0.22,1,0,0,1,0,0,0,0
Harlem,90,1,37,2.75,1,60,0,1,0,0,0,1
East Harlem,300,2,0,1.3732214298586618,1,0,0,1,0,0,0,0
Prospect-Lefferts Gardens,80,4,2,0.08,1,0,1,0,0,0,0,0
Astoria,100,1,3,0.3,1,0,0,0,1,0,1,0
Hell's Kitchen,100,7,0,1.3732214298586618,1,0,0,1,0,0,1,0
Williamsburg,65,3,2,1.22,3,0,1,0,0,0,1,0
South Slope,80,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Astoria,117,30,7,0.23,8,241,0,0,1,0,0,0
Hell's Kitchen,235,3,7,0.47,1,5,0,1,0,0,0,0
Harlem,86,2,7,0.69,2,87,0,1,0,0,1,0
Kensington,62,1,95,6.97,2,261,1,0,0,0,1,0
Tribeca,149,1,16,1.62,1,337,0,1,0,0,1,0
South Slope,200,2,9,0.24,1,0,1,0,0,0,0,0
Williamsburg,60,3,46,2.88,3,0,1,0,0,0,1,0
Bushwick,69,1,6,0.33,2,83,1,0,0,0,1,0
Harlem,50,4,15,4.55,1,4,0,1,0,0,1,0
Ridgewood,47,30,0,1.3732214298586618,10,323,0,0,1,0,1,0
Parkchester,36,1,0,1.3732214298586618,1,71,0,0,0,0,0,1
Williamsburg,55,6,1,0.07,1,0,1,0,0,0,1,0
Astoria,90,5,0,1.3732214298586618,2,0,0,0,1,0,0,0
Forest Hills,30,14,0,1.3732214298586618,1,0,0,0,1,0,1,0
Greenpoint,61,14,0,1.3732214298586618,1,157,1,0,0,0,1,0
Bushwick,160,2,0,1.3732214298586618,2,359,1,0,0,0,0,0
Williamsburg,180,3,35,0.71,1,18,1,0,0,0,0,0
Bedford-Stuyvesant,65,1,9,0.24,1,343,1,0,0,0,1,0
Forest Hills,100,2,22,2.83,1,103,0,0,1,0,0,0
Clinton Hill,60,1,67,1.85,1,310,1,0,0,0,1,0
East Village,80,3,2,0.11,1,0,0,1,0,0,1,0
East Harlem,99,2,90,2.79,3,92,0,1,0,0,1,0
Upper West Side,130,2,0,1.3732214298586618,2,154,0,1,0,0,1,0
Harlem,69,1,4,0.29,11,365,0,1,0,0,1,0
Tompkinsville,95,4,54,2.06,1,0,0,0,0,1,0,0
Bushwick,45,14,15,0.48,1,0,1,0,0,0,1,0
Lower East Side,140,5,8,0.16,1,0,0,1,0,0,0,0
Park Slope,165,6,5,0.25,2,73,1,0,0,0,0,0
Williamsburg,55,1,1,0.05,1,0,1,0,0,0,1,0
Astoria,100,2,15,0.33,1,318,0,0,1,0,1,0
Maspeth,169,3,27,0.78,6,256,0,0,1,0,1,0
Chinatown,68,20,6,0.31,5,332,0,1,0,0,1,0
Williamsburg,139,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
East New York,45,2,38,1.24,4,159,1,0,0,0,1,0
East Village,90,7,0,1.3732214298586618,2,0,0,1,0,0,1,0
Bushwick,40,1,5,0.15,1,0,1,0,0,0,1,0
Rego Park,54,2,10,2.34,1,319,0,0,1,0,1,0
Upper East Side,218,2,60,1.85,1,305,0,1,0,0,0,0
Hell's Kitchen,750,3,16,0.27,1,365,0,1,0,0,0,0
Cambria Heights,50,5,0,1.3732214298586618,2,96,0,0,1,0,1,0
Nolita,124,2,1,0.03,1,0,0,1,0,0,0,0
Murray Hill,197,30,1,0.3,96,325,0,1,0,0,0,0
Chelsea,213,30,0,1.3732214298586618,232,303,0,1,0,0,0,0
Gowanus,66,3,3,0.33,1,0,1,0,0,0,1,0
Prospect-Lefferts Gardens,50,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Hell's Kitchen,147,2,1,1.0,1,27,0,1,0,0,1,0
Inwood,175,30,1,0.27,2,8,0,1,0,0,0,0
Upper East Side,500,2,0,1.3732214298586618,6,351,0,1,0,0,1,0
Upper East Side,275,2,8,0.91,1,0,0,1,0,0,0,0
Chelsea,298,30,0,1.3732214298586618,232,285,0,1,0,0,0,0
Lower East Side,80,1,2,0.04,1,0,0,1,0,0,1,0
Washington Heights,99,2,20,0.89,1,24,0,1,0,0,1,0
Upper East Side,150,1,1,1.0,1,130,0,1,0,0,0,0
Canarsie,59,2,35,3.85,4,176,1,0,0,0,1,0
Crown Heights,150,50,4,0.07,1,312,1,0,0,0,0,0
Ridgewood,45,3,3,0.41,1,179,0,0,1,0,1,0
Jamaica,165,1,0,1.3732214298586618,18,355,0,0,1,0,1,0
Howard Beach,207,1,13,1.84,1,346,0,0,1,0,0,0
Astoria,35,1,11,2.66,1,11,0,0,1,0,0,1
Harlem,80,2,1,0.02,1,0,0,1,0,0,0,0
West Village,160,1,148,1.83,1,295,0,1,0,0,1,0
Bushwick,145,30,6,1.64,4,224,1,0,0,0,0,0
Bushwick,85,1,0,1.3732214298586618,1,0,1,0,0,0,0,1
SoHo,199,60,11,0.13,1,281,0,1,0,0,0,0
West Village,175,3,11,0.45,1,0,0,1,0,0,0,0
Clinton Hill,250,1,2,0.04,1,0,1,0,0,0,0,0
Midtown,254,29,0,1.3732214298586618,96,291,0,1,0,0,0,0
Fort Greene,48,30,0,1.3732214298586618,25,340,1,0,0,0,1,0
Lower East Side,120,4,0,1.3732214298586618,1,0,0,1,0,0,1,0
Great Kills,91,30,61,2.6,1,205,0,0,0,1,0,0
East Village,165,2,2,0.11,1,0,0,1,0,0,0,0
Prospect-Lefferts Gardens,65,28,5,0.26,3,297,1,0,0,0,1,0
Crown Heights,33,28,20,0.37,1,282,1,0,0,0,1,0
Crown Heights,80,3,0,1.3732214298586618,2,0,1,0,0,0,1,0
Upper West Side,800,5,0,1.3732214298586618,1,0,0,1,0,0,1,0
Williamsburg,345,2,47,3.24,2,146,1,0,0,0,0,0
Williamsburg,200,2,175,2.93,1,303,1,0,0,0,0,0
Crown Heights,30,10,0,1.3732214298586618,1,32,1,0,0,0,1,0
West Village,105,2,111,2.31,1,92,0,1,0,0,1,0
Greenwich Village,130,3,43,2.06,1,7,0,1,0,0,0,0
Midtown,499,3,12,0.36,12,365,0,1,0,0,1,0
Fresh Meadows,45,2,142,5.03,2,2,0,0,1,0,0,0
Bedford-Stuyvesant,41,7,9,0.28,1,0,1,0,0,0,1,0
Crown Heights,100,2,9,4.09,1,5,1,0,0,0,0,0
Chinatown,195,3,61,0.77,1,134,0,1,0,0,1,0
Greenpoint,179,3,36,0.84,13,53,1,0,0,0,0,0
Inwood,120,14,7,0.27,1,13,0,1,0,0,0,0
Prospect-Lefferts Gardens,40,2,9,0.22,1,0,1,0,0,0,1,0
Chelsea,85,1,78,2.26,12,360,0,1,0,0,1,0
Long Island City,79,2,0,1.3732214298586618,2,279,0,0,1,0,1,0
Flatiron District,590,2,6,0.6,1,125,0,1,0,0,1,0
Flushing,229,1,22,0.8,6,265,0,0,1,0,0,0
Bedford-Stuyvesant,42,30,0,1.3732214298586618,27,312,1,0,0,0,1,0
Williamsburg,250,4,4,0.38,1,0,1,0,0,0,0,0
East Harlem,50,25,0,1.3732214298586618,2,71,0,1,0,0,1,0
Bedford-Stuyvesant,61,1,181,5.47,4,0,1,0,0,0,1,0
East Harlem,115,4,1,0.02,1,0,0,1,0,0,0,0
Crown Heights,75,1,13,0.51,1,0,1,0,0,0,1,0
Tribeca,1000,7,0,1.3732214298586618,1,178,0,1,0,0,0,0
Bushwick,120,2,76,2.78,2,270,1,0,0,0,0,0
Ditmars Steinway,187,6,57,1.33,8,275,0,0,1,0,0,0
Bushwick,31,30,0,1.3732214298586618,6,333,1,0,0,0,0,1
Bedford-Stuyvesant,94,1,46,1.81,1,72,1,0,0,0,1,0
Harlem,165,5,0,1.3732214298586618,2,163,0,1,0,0,0,0
Hell's Kitchen,240,4,77,1.81,1,21,0,1,0,0,1,0
Murray Hill,222,30,0,1.3732214298586618,50,180,0,1,0,0,0,0
East Harlem,51,1,4,0.1,5,0,0,1,0,0,1,0
Williamsburg,80,3,130,1.85,1,0,1,0,0,0,1,0
East Flatbush,120,3,79,0.88,4,349,1,0,0,0,0,0
Ridgewood,115,3,15,1.88,1,10,0,0,1,0,0,0
Norwood,29,2,1,0.04,1,0,0,0,0,0,1,0
Upper West Side,50,3,0,1.3732214298586618,2,0,0,1,0,0,1,0
Midtown,99,2,168,3.1,1,46,0,1,0,0,0,0
Bushwick,100,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
Crown Heights,50,4,28,0.95,1,0,1,0,0,0,1,0
Flushing,40,3,51,1.45,12,96,0,0,1,0,1,0
Bushwick,109,2,105,2.25,2,244,1,0,0,0,1,0
Bushwick,55,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,50,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
Nolita,67,1,86,2.5,1,45,0,1,0,0,1,0
Crown Heights,66,30,2,1.0,7,223,1,0,0,0,1,0
Midland Beach,115,2,2,2.0,1,231,0,0,0,1,0,0
Hunts Point,35,2,1,1.0,2,59,0,0,0,0,1,0
East Village,170,2,7,0.52,1,0,0,1,0,0,0,0
Bushwick,43,2,17,4.05,2,68,1,0,0,0,1,0
East Flatbush,40,30,0,1.3732214298586618,3,326,1,0,0,0,1,0
Harlem,88,4,16,0.43,1,0,0,1,0,0,1,0
Murray Hill,240,2,8,1.95,327,105,0,1,0,0,0,0
Grymes Hill,110,2,69,4.47,1,19,0,0,0,1,0,0
Bedford-Stuyvesant,99,90,2,0.18,2,170,1,0,0,0,0,0
Harlem,109,3,35,2.82,4,0,0,1,0,0,1,0
Flushing,75,1,48,0.77,4,355,0,0,1,0,1,0
Hell's Kitchen,139,2,121,5.35,1,82,0,1,0,0,0,0
Bushwick,90,3,8,0.32,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,63,1,63,9.64,2,47,1,0,0,0,1,0
Astoria,60,3,6,0.42,1,156,0,0,1,0,1,0
Holliswood,100,1,0,1.3732214298586618,1,0,0,0,1,0,1,0
Flushing,85,2,18,2.62,1,60,0,0,1,0,1,0
Lower East Side,175,3,2,0.05,1,0,0,1,0,0,0,0
Financial District,180,10,0,1.3732214298586618,3,54,0,1,0,0,0,0
Hell's Kitchen,70,1,3,3.0,6,24,0,1,0,0,0,1
East Village,125,3,2,0.27,1,45,0,1,0,0,0,0
Prospect Heights,150,4,0,1.3732214298586618,1,5,1,0,0,0,0,0
Bensonhurst,123,2,62,2.48,2,131,1,0,0,0,0,0
Lower East Side,200,4,3,0.25,1,0,0,1,0,0,0,0
Williamsburg,600,2,23,2.2,2,328,1,0,0,0,0,0
Harlem,65,11,0,1.3732214298586618,1,48,0,1,0,0,1,0
Harlem,101,2,21,1.09,1,0,0,1,0,0,0,0
Bushwick,70,2,10,2.36,1,14,1,0,0,0,1,0
Carroll Gardens,90,1,5,0.13,1,0,1,0,0,0,1,0
Williamsburg,98,2,2,0.17,2,0,1,0,0,0,1,0
Hell's Kitchen,285,3,3,1.8,1,215,0,1,0,0,0,0
Bedford-Stuyvesant,60,60,34,0.79,1,189,1,0,0,0,1,0
East Village,140,4,49,3.58,1,51,0,1,0,0,0,0
Bedford-Stuyvesant,99,4,3,0.23,1,0,1,0,0,0,0,0
Financial District,87,2,10,0.43,1,0,0,1,0,0,1,0
Upper West Side,150,4,2,0.1,2,0,0,1,0,0,0,0
Prospect-Lefferts Gardens,100,2,90,2.95,2,0,1,0,0,0,1,0
Williamsburg,150,3,32,0.42,2,365,1,0,0,0,1,0
Canarsie,80,3,1,0.05,4,364,1,0,0,0,1,0
Bedford-Stuyvesant,50,1,12,0.52,1,39,1,0,0,0,1,0
Upper West Side,110,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Upper West Side,250,3,78,2.93,1,246,0,1,0,0,1,0
Harlem,140,1,5,0.66,1,3,0,1,0,0,0,0
Bushwick,55,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
East New York,60,1,1,1.0,1,361,1,0,0,0,1,0
Bedford-Stuyvesant,100,1,13,3.86,1,13,1,0,0,0,0,0
Forest Hills,2350,365,0,1.3732214298586618,1,364,0,0,1,0,0,0
Sunnyside,30,3,1,1.0,12,358,0,0,1,0,0,1
Midtown,400,2,0,1.3732214298586618,1,47,0,1,0,0,0,0
Park Slope,125,2,117,1.99,1,270,1,0,0,0,1,0
Sunset Park,35,1,2,0.05,2,0,1,0,0,0,1,0
Financial District,650,1,7,0.76,8,315,0,1,0,0,0,0
Prospect-Lefferts Gardens,93,4,115,1.25,1,312,1,0,0,0,0,0
Williamsburg,400,6,3,0.35,1,347,1,0,0,0,0,0
Upper East Side,199,2,0,1.3732214298586618,2,364,0,1,0,0,0,0
West Village,300,5,88,2.32,1,121,0,1,0,0,0,0
Harlem,75,2,21,0.81,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,83,30,1,0.81,3,349,1,0,0,0,0,0
Upper West Side,130,30,12,0.23,34,292,0,1,0,0,0,0
Bedford-Stuyvesant,170,5,3,0.44,4,167,1,0,0,0,1,0
Bushwick,42,2,5,0.67,1,0,1,0,0,0,0,1
Kingsbridge,42,2,108,1.36,2,302,0,0,0,0,1,0
Brownsville,59,2,32,2.85,3,0,1,0,0,0,1,0
Williamsburg,155,3,1,0.7,3,365,1,0,0,0,1,0
Shore Acres,100,3,0,1.3732214298586618,1,90,0,0,0,1,1,0
Upper West Side,113,1,93,1.12,1,2,0,1,0,0,1,0
East Harlem,75,2,13,0.28,2,325,0,1,0,0,1,0
Financial District,86,4,2,0.06,1,0,0,1,0,0,1,0
Morningside Heights,245,2,57,2.58,1,54,0,1,0,0,0,0
Lower East Side,125,1,85,2.23,1,335,0,1,0,0,1,0
Chelsea,150,1,12,1.29,1,0,0,1,0,0,0,0
East Village,177,1,2,0.05,1,0,0,1,0,0,0,0
Long Island City,120,1,30,3.66,1,6,0,0,1,0,0,0
Cypress Hills,60,1,1,0.57,1,89,1,0,0,0,1,0
Williamsburg,250,4,10,0.27,1,0,1,0,0,0,0,0
Williamsburg,80,2,74,1.64,1,210,1,0,0,0,1,0
Bedford-Stuyvesant,75,1,17,4.51,4,227,1,0,0,0,1,0
Fort Hamilton,60,4,0,1.3732214298586618,1,155,1,0,0,0,1,0
East Village,80,1,8,0.31,2,0,0,1,0,0,1,0
Elmhurst,300,1,1,0.21,1,89,0,0,1,0,1,0
Williamsburg,79,1,168,8.57,1,153,1,0,0,0,0,0
Financial District,262,30,0,1.3732214298586618,232,325,0,1,0,0,0,0
Upper West Side,79,1,59,5.75,1,61,0,1,0,0,1,0
East Village,125,2,28,0.45,1,179,0,1,0,0,0,0
Long Island City,95,1,141,2.77,2,331,0,0,1,0,1,0
Ridgewood,38,2,0,1.3732214298586618,1,0,0,0,1,0,1,0
Harlem,125,3,232,3.22,1,47,0,1,0,0,0,0
Williamsburg,50,4,2,0.11,1,0,1,0,0,0,1,0
Chinatown,87,4,9,0.63,1,89,0,1,0,0,1,0
East Village,210,4,4,0.39,1,0,0,1,0,0,0,0
Upper West Side,275,30,4,0.15,12,199,0,1,0,0,0,0
West Village,217,105,0,1.3732214298586618,2,85,0,1,0,0,0,0
Bedford-Stuyvesant,250,1,11,0.32,3,365,1,0,0,0,0,0
West Village,250,3,2,0.88,5,265,0,1,0,0,0,0
Williamsburg,160,4,6,0.69,1,10,1,0,0,0,0,0
Greenpoint,150,4,4,0.13,1,0,1,0,0,0,0,0
Fort Greene,54,30,0,1.3732214298586618,43,361,1,0,0,0,1,0
Bushwick,135,3,7,1.96,1,117,1,0,0,0,0,0
Lower East Side,225,6,22,1.36,1,17,0,1,0,0,0,0
Harlem,190,5,0,1.3732214298586618,1,0,0,1,0,0,0,0
Williamsburg,175,1,15,1.33,1,8,1,0,0,0,0,0
Upper West Side,115,88,5,0.22,1,220,0,1,0,0,0,0
Clinton Hill,70,30,27,2.38,3,347,1,0,0,0,1,0
Crown Heights,100,44,0,1.3732214298586618,2,53,1,0,0,0,0,0
Williamsburg,180,3,3,0.06,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,67,2,149,4.08,1,142,1,0,0,0,0,0
Inwood,40,2,2,0.12,1,0,0,1,0,0,0,1
Boerum Hill,300,29,23,0.26,2,312,1,0,0,0,0,0
Upper West Side,185,7,0,1.3732214298586618,1,55,0,1,0,0,0,0
East Harlem,180,1,4,1.54,1,32,0,1,0,0,0,0
Sunset Park,35,6,1,0.02,1,0,1,0,0,0,1,0
Concord,35,4,19,0.84,7,346,0,0,0,1,1,0
Harlem,60,1,1,0.02,1,0,0,1,0,0,1,0
Woodrow,700,7,0,1.3732214298586618,1,0,0,0,0,1,0,0
Bedford-Stuyvesant,200,3,6,0.1,1,0,1,0,0,0,0,0
Greenwich Village,118,5,1,0.02,1,0,0,1,0,0,0,0
Upper West Side,60,1,73,3.65,4,88,0,1,0,0,0,1
Harlem,89,2,8,0.34,1,5,0,1,0,0,0,0
Upper East Side,120,3,0,1.3732214298586618,1,0,0,1,0,0,0,0
Upper East Side,293,30,0,1.3732214298586618,96,280,0,1,0,0,0,0
Hell's Kitchen,260,2,21,1.04,2,222,0,1,0,0,0,0
East Harlem,89,1,63,3.74,1,12,0,1,0,0,1,0
Jackson Heights,200,2,0,1.3732214298586618,1,364,0,0,1,0,0,0
Washington Heights,80,12,27,0.67,3,88,0,1,0,0,0,0
Hell's Kitchen,151,6,22,2.1,2,56,0,1,0,0,0,0
Crown Heights,65,1,101,2.7,1,309,1,0,0,0,1,0
Morningside Heights,145,5,3,0.06,1,0,0,1,0,0,0,0
Williamsburg,70,1,8,0.41,1,0,1,0,0,0,1,0
Bushwick,60,21,0,1.3732214298586618,1,0,1,0,0,0,1,0
Murray Hill,340,30,0,1.3732214298586618,65,364,0,1,0,0,0,0
Long Island City,89,1,165,1.99,2,50,0,0,1,0,1,0
Morningside Heights,90,2,8,0.22,1,0,0,1,0,0,1,0
Long Island City,199,1,6,0.26,2,53,0,0,1,0,1,0
Williamsburg,289,30,32,3.06,1,60,1,0,0,0,0,0
Kips Bay,120,3,1,0.04,3,0,0,1,0,0,0,0
Kips Bay,165,3,2,0.11,1,2,0,1,0,0,0,0
Sunset Park,90,2,31,2.49,4,126,1,0,0,0,0,0
Flatlands,46,2,4,0.17,1,4,1,0,0,0,1,0
Lower East Side,350,2,5,0.74,1,326,0,1,0,0,0,0
Bushwick,70,1,59,2.11,3,362,1,0,0,0,1,0
Chelsea,255,30,1,0.19,232,330,0,1,0,0,0,0
Bedford-Stuyvesant,50,6,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,68,5,8,0.1,1,281,1,0,0,0,1,0
Washington Heights,79,3,4,0.1,5,17,0,1,0,0,1,0
Hell's Kitchen,400,2,0,1.3732214298586618,1,166,0,1,0,0,0,1
Brownsville,120,3,3,0.29,1,365,1,0,0,0,1,0
East Harlem,280,30,32,3.69,1,112,0,1,0,0,0,0
Crown Heights,40,14,1,0.04,2,0,1,0,0,0,1,0
Bedford-Stuyvesant,49,14,9,0.2,1,0,1,0,0,0,1,0
Midtown,135,3,21,0.67,1,0,0,1,0,0,0,0
Williamsburg,350,175,5,0.26,1,362,1,0,0,0,0,0
